pgba_select,Select,Seleccionar,चुनें,選択する,선택,Selecionar,Выбрать,เลือก,Lựa chọn,选择,選擇
pgba_thisWeek,This week,Esta semana,इस हफ़्ते,今週,이번 주,Esta semana,За эту неделю,สัปดาห์นี้,Tuần này,本周,本週
pgba_lastWeek,Last week,Semana pasada,पिछले हफ़्ते,先週,지난 주,Semana passada,На прошлой неделе,สัปดาห์ที่แล้ว,Tuần trước,上周,上週
pgba_twoWeeksAgo,Two weeks ago,Dos semanas atrás,दो सप्ताह पहले,2週間前,2 주 전,Há duas semanas,Две недели назад,สองสัปดาห์ที่แล้ว,Hai tuần trước,两周以前,兩週以前
pgba_selected_n_photos,%tu Selected,%tu Seleccionado,%tu चयनित ,選択された%tu,%tu 선택됨,%tu selecionado,Выбрано: %tu ,%tu รูปภาพที่เลือก,%tu đã Chọn ,已选%tu张照片,已選%tu張照片
pgba_today,Today,Hoy,आज,今日,오늘,Hoje,Cегодня,วันนี้,Hôm nay,今天,今天
pgba_yesterday,Yesterday,Ayer,बीता कल,昨日,어제,Ontem,Вчера,เมื่อวานนี้,Hôm qua,昨天,昨天
newuser_bind_china,China,China,चीन,中国,중국,China,Китай,ประเทศจีน,Trung Quốc,中国,中國
newuser_inputcode_resend,Re-send,Volver a enviar,दोबारा भेजें,再送,재전송,Enviar novamente,Отправить повторно,ส่งซ้ำ,Gửi lại,重新发送,重新發送
newuser_complete_bind,Bound,Vincular,बाउंड है,関連付けられた,바인딩 완료,Vincular,Привязанный,ผูก,Đã liên kết,完成绑定,完成綁定
newuser_select_countrymobile_code,Country code,Código de país,देश कोड,国コード,국가 코드,Código do país,Код страны,รหัสประเทศ,Mã quốc gia,国家代码,國家代碼
newuser_current_mobile_code,Current phone,Teléfono actual,वर्तमान फ़ोन,現在の電話番号,현재 전화,Telefone atual,Текущий телефон,โทรศัพท์ที่ใช้ในปัจจุบัน,Điện thoại hiện tại,当前电话,當前電話
pc_not_login_find_more_intresting,More content,Más contenido,अधिक रोचक सामग्री ढूँढ़ें,よりコンテンツ,더  콘텐츠,Mais conteúdo,больше содержимого,พบกับเนื้อหาน่าสนใจมากขึ้น,Nội dung thú vị,发现更多有趣的内容,發現更多有趣的內容
newuser_login_title,Sign Up,Registrarse,साइन अप करें,登録,회원 가입,Cadastrar-se,Зарегистрироваться,ลงชื่อ,Đăng ký,立即登录,立即登入
newuser_nickname_not_empty,Nickname cannot be blank,El apodo no puede estar vacío,उपनाम रिक्त नहीं हो सकता,ニックネームは空白にはできません。,닉네임은 비워 둘 수 없습니다,O apelido não pode ser em branco,Псевдоним не может быть пустым,ชื่อเล่นต้องไม่ว่างเปล่า,Biệt danh không được để trống,昵称不能为空,昵稱不能為空
newuser_gener_not_selected,Gender not selected,No seleccionaste un género,लिंग चयनित नहीं है,性別が選択されていません。,성별을 선택하지 않았습니다,Sexo não selecionado,Не выбран пол,ไม่ได้เลือกเพศ,Giới tính chưa chọn,你还没选择性别,你還沒選擇性別
newuser_nickname_repeat,"Nickname already in use, choose another","El apodo ya está en uso, elije otro","उपनाम पहले ही इस्तेमाल में है, अन्य चुनें",ニックネームはすでに使用されています。別のものを選択してください。,이미 사용중인 닉네임입니다. 다른 닉네임을 선택하세요.,"O apelido já está sendo usado, escolha outro","Псевдоним уже используется, выберите другой",ชื่อเล่นนี้มีการใช้งานแล้ว เลือกชื่อใหม่,"Biệt danh đã sử dụng, chọn một cái khác",昵称重复，请重新修改,昵稱重複，請重新修改
newuser_nickname_invalid,Nickname is invalid,El nombre de usuario es inválido,उपनाम अमान्य है,ニックネームの中に利用できない文字が含まれています,잘못된 닉네임입니다,O apelido é inválido,Недопустимый псевдоним,ชื่อเล่นมีอักขระที่ผิดกฎ,Biệt danh không hợp lệ,昵称中包含非法字符,昵稱中包含非法字元
pc_addFriends_search_userOrId,Search user,de u,उपयोगकर्ता खोजें,ニックネームで検索,사용자 닉네임 검색,Pesquisar de utilizador,Поиск пользователей,ค้นหาชื่อเล่น,Tìm người dùng,搜索用户昵称,搜索用戶昵稱
pc_authorize_fail,Failed to authorize,Error al autorizar,अधिकृत करना विफल,許可するのに失敗しました。,권한 부여 실패,Falhou em autorizar,Не удалось авторизовать,ล้มเหลวในการอนุญาต,Không thể ủy quyền,授权失败,授權失敗
newuser_bind_mobile_hasBeenBind,Number is already in use,El número ya se ha utilizado,यह नंबर पहले ही इस्तेमाल में है,この数字はすでに使用されています,이 번호는 이미 사용 중입니다.,Este número já está sendo usado,Этот номер уже используется,หมายเลขนี้ถูกใช้แล้ว,Số đã sử dụng,该手机号已被占用,該手機號已被佔用
pc_task_over,挑战已结束,挑战已结束,挑战已结束,挑战已结束,挑战已结束,挑战已结束,挑战已结束,挑战已结束,挑战已结束,挑战已结束,挑战已结束
登录下载,Login to download,Inicia sesión para descargar,डाउनलोड करने के लिए लॉगइन करें,登録でダウンロード,로그인하여 다운로드,Login para download,"Войдите, чтобы загрузить",ล็อกอินเพื่อดาวน์โหลด,Đăng nhập để tải xuống,登录下载,登錄下載
免费,Free,Gratis,निःशुल्क,無料,무료,Grátis,Бесплатно,ฟรี,Miễn phí,免费,免費
下载中,Downloading,Descargando,डाउनलोड हो रहा है,ダウンロード中,다운로드 중,Baixando,Загрузка,กำลังดาวน์โหลด,Đang tải,下载中,下載中
立即使用,Use now,Utilizar ahora,अभी उपयोग करें,すぐ使う,지금 사용,Usar agora,Использовать сейчас,ใช้ในขณะนี้,Sử dụng ngay bây giờ,立即使用,立即使用
素材管理,Manage materials,Gestionar materiales,सामग्री प्रबंधित करें,素材管理,자료 관리,Gerenciar materiais,Управление материалами,จัดการวัสดุ,Quản lý tài liệu,素材管理,素材管理
移到最前,Move to top,Subir,शीर्ष पर ले जाएँ,最前へ移す,맨 위로 이동,Mover para o topo,Переход к началу,ย้ายไปที่ด้านบน,Di chuyển lên đầu,移到最前,移到最前
恢复已购,Recover purchase,Recuperar compra,ख़रीद बहाल करें,購買回復,구매 복구,Recuperar compra,Восстановить покупки,การกู้คืนการซื้อ,Khôi phục mua hàng,恢复已购,恢復已購
管理,Manage,Gestionar,प्रबंध करें,管理,관리,Gerenciar,Управление,จัดการ,Quản lý,管理,管理
我喜欢,Favorites,Favoritos,पसंदीदा,好きなもの,즐겨 찾기,Favoritos,Избранное,รายการโปรด,Mục ưa thích,我喜欢,我喜歡
夜景关闭,Night mode OFF,Modo Noche DESACTIVADO,रात्रि मोड बंद,夜景を閉じる,나이트 모드 꺼짐,Modo noturno desligado,Ночной режим ВЫКЛ,ปิดโหมดกลางคืน,Chế độ ban đêm TẮT,夜景关闭,夜景關閉
夜景打开,Night mode ON,Modo Noche ACTIVADO,रात्रि मोड चालू,夜景を開く,나이트 모드 켜짐,Modo noturno ligado,Ночной режим ВКЛ,เปิดโหมดกลางคืน,Chế độ ban đêm BẬT,夜景打开,夜景打開
画幅,Frame,Marco,फ़्रेम,寸法,프레임,Quadro,Рамка,กรอบ,Khung,画幅,畫幅
定时,Timed,Temporizado,समय किया गया,定時,타임드,Cronometrado,По времени,หมดเวลา,Theo thời gian,定时,定時
夜景,Night mode,Modo Noche,रात्रि मोड,夜景,나이트 모드,Modo noturno,Ночной режим,โหมดกลางคืน,Chế độ ban đêm,夜景,夜景
网格,Grid,Cuadrícula,ग्रिड,グリッド,그리드,Grade,Сетка,ตาราง,Lưới,网格,網格
触屏拍照,Touch capture,Captura táctil,टच कैप्चर,タッチ撮り,터치 캡처,Captura de toque,Съемка касанием,แตะเพื่อถ่ายภาพ,Chụp bằng cách chạm,触屏拍照,觸屏拍照
暗角,Vignette,Viñeta,विग्नेट,暗い角,비네팅,Vinheta,Виньетирование,กรอบ,In màu,暗角,暗角
虚化,Blur,Borroso,धुँधला,虚像化,블러링,Desfoque,Размытие,เบลอ,Làm mờ,虚化,虚化
静音相机,Mute shutter,Silenciar obturador,मूक शटर,消音カメラ,음소거 셔터,Colocar obturador no mudo,Выключить звук затвора,ปิดเสียงชัตเตอร์,Chụp ảnh im lặng,静音相机,靜音相機
设置,Settings,Ajustes,सेटिंग्स,設置,설정,Configurações,Настройки,การตั้งค่า,Cài đặt,设置,設置
暂无可用恢复素材,No recovered materials available,No hay materiales recuperados disponibles,कोई बहाल की गई सामग्री उपलब्ध नहीं है,回復できる素材はしばらくない,사용 가능한 복구 자료 없음,Nenhum material recuperado disponível,Доступны невосстановленные материалы,ไม่มีวัสดุกูคืนใช้ได้,Không tồn tại tài liệu được khôi phục nào,暂无可恢复素材,暫無可恢復素材
暂无可用素材,No materials available,No hay materiales disponibles,कोई सामग्री उपलब्ध नहीं है,利用できる素材はしばらくない,사용 가능한 자료 없음,Nenhum material disponível,Нет доступных материалов,ไม่มีวัสดุให้ใช้,Không tồn tại tài liệu nào,暂无可用素材,暫無可用素材
分享下载,Share download,Compartir descarga,डाउनलोड साझा करें,ロック解除を共有する,다운로드 공유,Compartilhar download,Поделиться загрузкой,แชร์ดาวน์โหลด,Chia sẻ tải về,分享解锁,分享解鎖
解锁,Unlock,Desbloquear,अनलॉक करें,ロック解除,잠금 해제,Desbloquear,Разблокировать,ปลดล็อค,Mở khóa,解锁,解鎖
补光,Fill,Relleno,भरें,フィルイン,채우기,Preencher,Заполнить,เติม,Nạp thêm,补光,補光
网络数据异常，请稍后再试,"Network data error, try again later","Error de datos de red, inténtelo más tarde","नेटवर्क डेटा त्रुटि, बाद में पुनः प्रयास करें",インターネットデータ異常、あとで試してください,"네트워크 데이터 오류,나중에 다시 시도하세요 ","Erro de dados da rede, tente novamente depois","Ошибка данных сети, повторите попытку позже",ข้อผิดพลาดของข้อมูลเครือข่าย ลองอีกครั้งในภายหลัง,"Lỗi dữ liệu mạng, vui lòng thử lại sau",网络数据异常，请稍后再试,網絡數據異常，請稍後再試
发生异常，请稍后再试,"Error, try again later","Error, inténtelo más tarde","त्रुटि, बाद में पुनः प्रयास करें",異常があり、あとで試してください,"오류, 나중에 다시 시도하세요","Erro, tente novamente depois","Ошибка, попробуйте еще раз позже",ข้อผิดพลาด ลองอีกครั้งในภายหลัง,"Có lỗi, vui lòng thử lại sau",发生异常，请稍后再试,發生異常，請稍後再試
恢复,Recover,Recuperar,बहाल करें,回復,복구,Recuperar,Восстановить,กู้คืน,Phục hồi,恢复,恢復
照片自动保存,Auto-save photos,Guardado automático de fotos,फ़ोटो स्वतः सहेजें,写真の自動保存,사진 자동 저장,Salvar fotos automaticamente,Автоматическое сохранение фотографий,บันทึกภาพอัตโนมัติ,Ảnh lưu tự động,照片自动保存,照片自動保存
全部照片,All photos,Todas las fotos,सभी फ़ोटो,すべての写真,모든 사진,Todas as fotos,Все фотографии,รูปภาพทั้งหมด,Tất cả ảnh,全部照片,全部照片
下载,Download,Descargar,डाउनलोड करें,ダウンロード,다운로드,Download,Загрузить,ดาวน์โหลด,Tải xuống,下载,下載
使用,Use,Aplicar,उपयोग करें,使用する,사용,Usar,Использовать,ใช้,Sử dụng,使用,使用
该素材不可用于编辑,This material cannot be used for editing,Este material no se puede utilizar para editar,इस सामग्री का उपयोग संपादन के लिए नहीं किया जा सकता,この素材は編集出来ません,이 재료는 편집에 사용할 수 없음,Este material não pode ser usado para edição,Этот материал не может быть использован для редактирования,วัสดุนี้ไม่สามารถใช้เพื่อการแก้ไขได้,Tài liệu này không thể sử dụng để chỉnh sử,该素材不可用于编辑,該素材不可用於編輯
点击花瓣继续,Tap petal to continue,Toca el pétalo para continuar,जारी रखने के लिए पँखुड़ी पर टैप करें,花びらをクリックして続ける,꽃잎을 눌러서 계속,Toque na pétala para continuar,"Нажмите на лепесток, чтобы продолжить",แตะกลีบเพื่อดำเนินการต่อ,Gõ nhẹ giao diện cánh hoa để tiếp tục,点击花瓣继续,點擊花瓣繼續
精彩世界等你开启,Exciting new world Waiting to be opened,Un apasionante mundo a la espera de ser descubierto,नई रोमांचक दुनिया खोले जाने की प्रतीक्षा कर रही है,素敵な世界が待ってます,흥미로운 신 세계가 당신을 기다리고 있습니다,Um novo mundo empolgante esperando para ser aberto,"Захватывающий новый мир ждет, когда его откроют",“โลกใหม่ที่น่าตื่นเต้น รอที่จะเปิดอยู่,Một thế giới thú vị đang chờ được mở ra,精彩世界 等你开启,精彩世界 等你開啓
进入,Enter,Entrar,दर्ज करें,入る,들어가기,Entrar,Войти,เข้าสู่,Đi đến,进入,進入
静音,Mute,Silenciar,म्यूट करें,ミュート,음소거,Mudo,Отключить звук,ปิดเสียง,Câm,静音,靜音
您的系统版本过低，暂不支持该功能,"Your system version is outdated, and doesn't support this function",La versión de tu sistema está desactualizada y no es compatible con esta función,"आपका सिस्टम संस्करण पुराना हो चुका है, और यह इस फ़ंक्शन का समर्थन नहीं करता",バーションが古いのでこの機能は使用出来ません。,시스템 버전이 만료되어 이 기능을 지원하지 않습니다.,A versão do seu sistema está desatuaizada e não suporta esta função,Версия системы является устаревшей и не поддерживает эту функцию,ระบบของคุณเป็นเวอร์ชั่นที่ล้าสมัย และไม่รองรับคุณสมบัตินี้,Phiên bản hệ thống của bạn đã lỗi thời và không hỗ trợ chức năng này,您的系统版本过低，暂不支持该功能,您的系統版本過低，暫不支持該功能
大小,Size,Tamaño,आकार,サイズ,크기,Tamanhp,Размер,MISSING VALUE,Kích cỡ,大小,大小
您当前在非WIFI环境下，是否继续下载？,"You are currently not on WIFI, continue downloading?","Actualmente no estás conectado a WIFI, ¿continuar descargando?","आप फ़िलहाल वाईफ़ाई पर नहीं हैं, डाउनलोड जारी रखें?",現在WIFI接続ではありませんが、ダウンロードを続けますか？,현재 WIFI에 연결되어 있지 않습니다. 다운로드를 계속하시겠습니까?,"No momento, você não está no WIFI, continuar baixando?","Устройство не подключено к сети Wi-Fi, продолжить загрузку?",ขณะนี้คุณไม่ได้ใช้ WIFI ดาวน์โหลดต่อหรือไม่,"Bạn hiện đang không có WIFI, tiếp tục tải xuống?",您当前在非WIFI环境下，是否继续下载？,您當前在非WIFI環境下，是否繼續下載？
内含X个素材,Contains %ld materials,Contiene %ld materiales,%ld सामग्री शामिल है,%ld個の素材を含みます,%ld 재료 포함,Contém %ld materiais,Содержит %ld материалов,ประกอบด้วยวัสดุ %ld,Có chứa tài liệu %ld,内含%ld个素材,內含%ld個素材
已下载,Downloaded,Descargado,डाउनलोड किया गया,ダウンロード済み,다운로드하고 있다,Baixado,Загружено,ดาวน์โหลด,Đã tải xuống,已下载,已下載
共%ld款,%ld total,%ld total,%ld कुल,合計％ld個,총 %ld,%ld total,Всего %ld,รวม %ld,%ld tổng,共%ld款,共%ld款
下载失败,Download failed,Fallo de descarga,डाउनलोड विफल,ダウンロード失敗,다운로드 실패,Download falhou,Ошибка загрузки,ดาวน์โหลดล้มเหลว,Tải xuống thất bại,下载失败,下載失敗
该内容不存在,Content doesn't exist,El contenido no existe,सामग्री मौजूद नहीं है,内容がありません,이 내용이 존재하지 않다,O conteúdo não existe,Содержимое не найдено,ไม่มีเนื้อหา,Nội dung không tồn tại,该内容不存在,該內容不存在
置顶,Top,Arriba,शीर्ष,トップへ,맨 위에 고정,Topo,Верх,ด้านบน,Trên cùng,置顶,置頂
pc_share_to_sns,Share,Compartir,हिस्सा,シェア,공유,Compartilhar,Поделиться,ลบ,Chia sẻ,分享到社区,分享到社區
pc_common_start_camera,Now record your life with Camera360!,¡Registre su vida ahora con Camera360!,अब Camera360 के साथ अपना जीवन रिकॉर्ड करें!,カメラ360で日々の生活を記録！,지금 Camera360으로 나만의 인생을 기록하세요!,Agora registre a sua vida com a Camera360!,Теперь записывайте вашу жизнь с помощью Camera360!,ตอนนี้บันทึกชีวิตของคุณด้วย Camera360,"Bây giờ, hãy ghi lại cuộc sống của bạn bằng Camera360!",开始用Camera360记录你的生活吧,開始用Camera360記錄你的生活吧
pc_feed_tips,Tips,Consejos,सलाह,ヒント,팁,Dicas,Советы,คำแนะนำ,Mẹo nhỏ,小贴士,小貼士
pc_feed_scrollTips,Slide to check more information,Deslice para ver más información,और जानकारी देखने के लिए स्लाइड करें,左右にスワイプして更にチェック,좌우로 슬라이드하시면 더 많은 내용을 조회하실 수 있습니다,Deslize para mais informações,"Передвиньте, чтобы увидеть больше информации",เลื่อนไปซ้ายขวาเพื่อค้นหาเนื้อหาที่ประทับใจ,Trượt màn hình để xem thêm chi tiết,左右滑动查看更多精彩,左右滑動查看更多精彩
pc_sns_translate_look,See translation,Ver la traducción,अनुवाद देखें,翻訳を見る,번역내용 조회하기,Ver tradução,Посмотреть перевод,ดูคำแปล,Xem bản dịch,查看翻译,查看翻譯
pc_sns_translating,Translating…,Traduciendo…,अनुवाद कर रहा है...,翻訳中…,번역중…,Traduzindo…,Переводится…,กำลังแปลอยู่…,Đang dịch…,翻译中…,翻譯中…
pc_sns_translate_hidden,Hide translation,Ocultar la traducción,अनुवाद छुपाएं,翻訳を隠す,번역내용 감추기,Esconder tradução,Скрыть перевод,ซ่อนคำแปลไว้,Ẩn bản dịch,隐藏翻译,隱藏翻譯
pc_sns_translate_translateError,Translate failed. Please retry.,Volver a intentar,पुनः प्रयास करें,再試行,"번역 실패, 다시 시도하십시오",Tente novamente,Повторить,แปลไม่สำเร็จ กรุณาลองใหม่อีกครั้ง,Thử lại,翻译失败，请重试,翻譯失敗，請重試
pc_user_change_avatar,Change photo,Cambiar su foto de perfil,अपनी प्रोफाइल तसवीर बदलें,アバタ―を替える,이모티콘 바꾸기,अपनी प्रोफाइल तसवीर बदलें,Измененить фото профиля,เปลี่ยนสัญลักษญ์,Đổi ảnh đại diện,更换头像,更換頭像
pc_ad_seemore,View more information,Ver más información,और जानकारी देखें,更に見る,더 많이 보기,Ver mais informações,Просмотреть более подробную информацию,อ่านเพิ่มเติม,Xem thêm,查看更多,查看更多
pc_mesage_choiceWork,Selected works,Trabajos seleccionados,चयनित कलाकृतियाँ,厳選作品,컬렉션 작품,Trabalhos selecionados,Избранные работы,ผลงานดีแด่ง,Bài viết được chọn lọc,精选作品,精選作品
pc_common_copy,Copy,Copia,कॉपी करें,コピー,복제,Copiar,Копировать,คัดลอก,Copy,复制,複製
pc_media_share_title,Share what you're feeling,Comparte cómo te sientes,"जोआपमहसूसकररहेहैं,उसेसाझाकरें",今の気持ちを投稿しよう,자신의감정을공유하세요,Compartilhe o que você está sentindo,"Поделитесь тем, что вы чувствуете",แชร์ความรู้สึกของคุณ,Bạn đang nghĩ gì?,分享你的心情,分享你的心情
pc_comment_sending,Sending,Enviando,भेजा जा रहा है,送信中,전송 중,Enviando,Отправка,กำลังส่ง,Đang gửi,发送中,發送中
pc_comment_resend,Resend,Volver a enviar,फिरसेभेजें,再送信,재전송하기,Re-enviar,Повторно отправить,ส่งซ้ำ,Nhấn gửi lại,点击重发,點擊重發
pc_download,Download,Descargar,डाउनलोडकरें,ダウンロード,다운로드하기,Baixar,Загрузить,ดาวน์โหลด,Tải xuống,下载,下載
pc_downloading,Downloading…,Descargando…,डाउनलोडहोरहाहै...,ダウンロード中…,다운로드중…,Baixando...,Загрузка...,ดาวน์โหลด...,Đang tải xuống...,下载中…,下載中…
pc_feed_detail_instruction,Comments now support images and emojis!,¡Los comentarios ahora admiten imágenes y emojis!,टिप्पणियाँअबछवियोंऔरइमोजीकासमर्थनकरतीहैं!,コメントに画像や絵文字を使用できるようになりました！,이제코멘트에서이미지와이모티콘도지원합니다!,Comentários agora suportam imagens e emojis!,Комментарии теперь поддерживают изображения и смайлы!,ตอนนี้การแสดงความคิดเห็นรองรับภาพและอิโมจิแล้ว!,Hỗ trợ bình luận hình ảnh và trả lời bằng emotion~,评论支持图片和表情回复啦~,評論支持圖片和表情回復啦~
pc_publish_instruction,Text descriptions can now include emojis!,¡Las descripciones de texto ahora pueden contener emojis!,पाठवर्णनमेंअबइमोजीशामिलहोसकतेहैं!,テキストの説明文に絵文字を使用できるようになりました！,이제설명에서이모티콘까지포함할수있습니다!,Descrições de texto agora podem incluir emojis!,Текстовые описания теперь могут включать смайлы!,คำอธิบายข้อความในขณะนี้สามารถใส่อีโมจิได้แล้ว!,Có thể thêm emotion vào nội dung mô tả~,文字描述中可以添加表情啦~,文字描述中可以添加表情啦~
pc_normal_dresser_instruction,"Master user, exclusive ID","Usuario maestro, ID exclusivo","मास्टरउपयोगकर्ता,अनन्यID",達人ユーザーだけの専用ID,"마스터사용자,전용ID","Usuário mestre, ID exclusivo","Главный пользователь, эксклюзивный ID",ผู้ใช้ระดับมาสเตอร์IDพิเศษ,"Người dùng thiên tài, nhận dạng thân phận riêng",达人用户，专属身份标识,達人用戶，專屬身份標識
pc_vip_dresser_instruction,"Certified user, highlights authority!","Usuario certificado, ¡denota autoridad!","प्रमाणितउपयोगकर्ता,प्राधिकरणहाइलाइटकरताहै!",認定ユーザーだけの特権！,"인증된사용자,권한강조!","Usuário certificado, destaca a autoridade!","Сертифицированный пользователь, основные полномочия!",ผู้ใช้ที่ผ่านการรับรองไฮไลท์!,"Chứng nhận người dùng, hiển thị thân phận uy quyền",认证用户，彰显身份权威～,認證用戶，彰顯身份權威～
pc_offical_certification,Official Certification,Certificación oficial,आधिकारिकप्रमाणन,公式認定,공식증서,Certificação Oficial,Официальная сертификация,การรับรองอย่างเป็นทางการ,Xác nhận chính thức,官方认证,官方認證
pc_comment_success,Comment successful,Comentario exitoso,टिप्पणी सफल,コメントを投稿しました,코멘트 성공,Comentário bem-sucedido,Комментарий добавлен,การแสดงความคิดเห็นสำเร็จ,Bình luận thành công,评论成功,評論成功
pc_no_comment_content_prompt,Enter comment,Introducir comentario,टिप्पणी दर्ज करें,コメントを入力してください,코멘트 입력하기,Inserir comentário,Введите комментарий,ใส่ความคิดเห็น,Nhập bình luận,请输入评论内容,請輸入評論內容
pc_edit_continue,Continue,Continuar,जारीरखें,続ける,계속,Continuar,Продолжить,ทำต่อไป,Tiếp tục,继续,繼續
是否取消收藏当前特效,Remove currect effect from Favorites?,¿Eliminar efecto actual de Favoritos?,पसंदीदा से मौजूदा प्रभाव निकालें?,現在のエフェクトをお気に入りから削除しますか？,즐겨찾기에서 이 효과를 삭제하시겠습니까?,Remover efeito atual dos Favoritos?,Удалить текущий эффект из избранного?,ลบเอฟเฟ็คปัจจุบันออกจากรายการโปรดหรือไม่?,Gỡ bỏ hiệu ứng hiện tại khỏi mục Yêu thích?,是否取消收藏当前特效,是否取消收藏當前特效
特效管理,Effects management,Gestión de efectos,प्रभाव प्रबंधन,エフェクト管理,효과 관리,Gerenciamento de efeitos,Управление эффектами,การจัดการเอฟเฟ็ค,Quản lý hiệu ứng,特效管理,特效管理
本地特效包,Local effects pack,Paquete de efectos locales,स्थानीय प्रभाव पैक,ローカルエフェクトパック,로컬 효과 팩,Pacote de efeitos locais,Пакет локальных эффектов,เอฟเฟ็คแพ็คภายใน,Gói hiệu ứng trong máy,本地特效包,本地特效包
商店,Store,Store,स्टोर,ストア,스토어,Loja,Магазин,ร้านค้า,Lưu trữ,商店,商店
setting_clearCache,Clear cache,Limpiar cache,कैशसाफ़करें,キャッシュ削除,캐시삭제,Limpar cache,Очистить кэш,ล้างแคช,Xóa cache,清除缓存,清除緩存
立即下载,Download now,Descargar ahora,अभी डाउनलोड करें,今すぐダウンロード,지금 다운로드하기,Baixe agora,Загрузить прямо сейчас.,ดาวน์โหลดเดี๋ยวนี้,Tải xuống ngay bây giờ,立即下载,立即下載
use_sticker_disable_tips_key,"When using stickers, frames and other settings will not be available","When using stickers, frames and other settings will not be available","When using stickers, frames and other settings will not be available","When using stickers, frames and other settings will not be available","When using stickers, frames and other settings will not be available","When using stickers, frames and other settings will not be available","When using stickers, frames and other settings will not be available","When using stickers, frames and other settings will not be available","When using stickers, frames and other settings will not be available",使用贴纸时，画幅等设置项将被屏蔽,使用貼紙時，畫幅等設置項將被屏蔽
pc_search_empty_text,Enter user nickname,Introducir apodo de usuario,उपयोगकर्ताकाउपनामदर्जकरें,ユーザーニックネームを入力してください,사용자닉네임을입력하세요,Insira o apelido do usuário,Введите псевдоним пользователя,ใส่ชื่อเล่นของผู้ใช้,Nhập nickname người dùng,请输入用户昵称,請輸入用戶暱稱
pc_feed_select_video_more,Select 1 video at most,Selecciona 1 video como máximo,अधिकतम 1 वीडियो चुनें,最高で1つの動画を選択できます,최대 1개 동영상 선택하기,"Selecione, no máximo, 1 vídeo",Выберите не более 1 видео,เลือกวิดีโอมากสุด 1 คลิป,Chọn tối đa 1 video,最多选择1个视频,最多選擇1個視頻
pc_recent_contacts,Recent contacts,Contactos recientes,हाल के संपर्क,最近のコンタクト,최근 연락처,Contatos recentes,Недавние контакты,รายชื่อติดต่อล่าสุด,Liên hệ gần đây,最近联系人,最近聯繫人
pc_my_follows,My Friends,Mis amigos,मेरे मित्र,マイフレンド,나의 친구,Meus amigos,Мои друзья,เพื่อนของฉัน,Bạn bè của Tôi,我关注的人,我關注的人
pc_at_friends,@friend,@amigo,@friend,@フレンド,@친구,@amigo,@друг,@เพื่อน,@bạn,@好友,@好友
use_sticker_only_support_4_3,"When using stickers, only supports 4:3 frame","Cuando se utilizan adhesivos, solo se admite el marco 4:3","स्टिकर का उपयोग करते समय, केवल 4:3 फ़्रेम का समर्थन करता है",ステッカー使用中は、4：3のフレームのみ対応しています,스티커 사용 시 4:3 프레임만 지원합니다,"Ao usar stickers, só suporta quadro 4:3",При использовании стикеров поддерживается только соотношение 4:3,เมื่อใช้สติกเกอร์ รองรับเฉพาะเฟรม 4: 3,"Khi sử dụng nhãn dán, chỉ hỗ trợ khung hình 4:3",使用贴纸时，仅支持4:3画幅,使用貼紙時，僅支持4:3畫幅
use_sticker_not_support_vignette,"When using stickers, vignette not supported","Cuando se utilizan adhesivos, no se admiten las viñetas","स्टिकर का उपयोग करते समय, विग्नेट समर्थित नहीं है",ステッカー使用中は、ビネットに対応していません,스티커 사용 시 비네트는 지원하지 않습니다,"Ao usar stickers, vinheta não é suportada",При использовании стикеров виньетирование не поддерживается,เมื่อใช้สติกเกอร์ ไม่รองรับขอบจาง,"Khi sử dụng nhãn dán, không hỗ trợ mờ nét",使用贴纸时，不支持暗角,使用貼紙時，不支持暗角
use_sticker_not_support_blur,"When using stickers, blur not supported","Cuando se utilizan adhesivos, no se admite el efecto borroso","स्टिकर का उपयोग करते समय, धुँधलापन समर्थित नहीं है",ステッカー使用中は、ぼかしに対応していません,스티커 사용 시 블러는 지원하지 않습니다,"Ao usar stickers, desfoque não é suportado",При использовании стикеров размытие не поддерживается,เมื่อใช้สติกเกอร์ มี่รองรับการเบลอ,"Khi sử dụng nhãn dán, không hỗ trợ làm mờ",使用贴纸时，不支持虚化,使用貼紙時，不支持虛化
use_sticker_not_support_night,"When using stickers, night mode not supported","Cuando se utilizan adhesivos, no se admite el modo noche","स्टिकर का उपयोग करते समय, रात्रि मोड समर्थित नहीं है",ステッカー使用中は、夜間モードに対応していません,스티커 사용 시 야간 모드는 지원하지 않습니다,"Ao usar stickers, modo noturno não é suportado",При использовании стикеров ночной режим не поддерживается,เมื่อใช้สติกเกอร์ ไม่รองรับโหมดกลางคืน,"Khi sử dụng nhãn dán, không hỗ trợ chế độ ban đêm",使用贴纸时，不支持夜景,使用貼紙時，不支持夜景
use_sticker_not_support_timer,"When using stickers, the timing function is not supported ","When using stickers, the timing function is not supported ","When using stickers, the timing function is not supported ","When using stickers, the timing function is not supported ","When using stickers, the timing function is not supported ","When using stickers, the timing function is not supported ","When using stickers, the timing function is not supported ","When using stickers, the timing function is not supported ","When using stickers, the timing function is not supported ",使用贴纸时，不支持定时功能,使用貼紙時，不支持定時功能
动态照片,Dynamic photo,Foto dinámica,गतिशील फ़ोटो,ダイナミック写真,움짤 사진,Texturas dinâmicas,Динамические текстуры,ภาพแบบไดนามิก,Ảnh động,动态照片,動態照片
